"Company Name","Key ID","Address Line 1","City","Phone","URL","Revenue (As Reported)","Employees","techMark Membership","Year Founded","Ultimate Parent Company","Ultimate Parent Country","ANZSIC 2006 Description","Address Type","Cash Equivalents (As Reported)","Assets (USD)","Cash Equivalents (USD)","Corporate Family Members","Fiscal Year End","Parent Company","Ownership Type","Profit Margin","Revenue (USD)","Sales 1 Year Growth (As Reported)"
"Hard Walls Cafe and Restaurant","48609241","PO Box 43695, Marina Mall","Abu Dhabi","971-02 6814200","http://www.adcecogroup.com/associates/hardwalls.htm","","","","","","","Cafes, Restaurants and Takeaway Food Services","","","","","0","2007-12-31T05:00:00Z","","Private","","",""
"Al Mazroui Engineering Company Llc","123284550","Po Box 97","Abu Dhabi","6724422","","200000000","","","","","","Other Residential Building Construction","","","","","0","","","Private","","54450375",""
"Al Ghaith Holding Company PJSC","111192716","P.O. Box 32323","Abu Dhabi","971-2-6262525","","","","","2001","","","Financial Asset Investing","","","","","2","","","Private","","",""
"Multi Chemical Establishment","111088203","AL MUSAFAH AREA","Abu Dhabi","971-2-5588000","http://www.alhamid-group.com","","","","","","","Basic Organic Chemical Manufacturing","","","","","0","","","Private","","",""
"Fortune Super Equity Management LLC","111088083","Saeed Bin Saif Al Nahyan Building","Abu Dhabi","971-2-6817777","http://www.fortune-management.com","","","","","","","Other Auxiliary Finance and Investment Services","","","","","0","","","Private","","",""
"Cristal Hotels and Resorts","113824979","PO Box 72898","Abu Dhabi","971-02 6520000","http://www.cristalhotelsandresorts.com","","","","","","","Accommodation","","","","","0","","","Private","","",""
"Abu Dhabi Investment House PJSC","107923723","Corniche Road,  106699","Abu Dhabi","971-2-6811233","","","","","2005","","","Other Auxiliary Finance and Investment Services","","","","","0","","","Private","","",""
"Fugro Global Environmental and Ocean Sciences","48609214","PO Box 43088","Abu Dhabi","971-2 5545101","http://www.geos.com","","","","","Fugro N.V","Netherlands","Surveying and Mapping Services","","","","","180","2007-12-31T05:00:00Z","Fugro N.V","Private","","",""
"Abu Dhabi National Oil Company for Distribution","123860299","","Abu Dhabi","971-26771300","http://www.adnoc-dist.com.ae","","","","","Abu Dhabi National Oil Company","United Arab Emirates","Petroleum Product Wholesaling","","","","","25","","Abu Dhabi National Oil Company","Private","","",""
"Cegelec Abu Dhabi","123157944","Al Ain Ahlia Insurance Building 2nd Floor","Abu Dhabi","971-2-403-0600","","","","","","Vinci SA","France","Other Heavy and Civil Engineering Construction","","","","","1269","","Cegelec GSS","Private","","",""
"Cadelta Group","121414676","Minafree Port Area Minazayad","Abu Dhabi","971-6732111","","","","","","Lend Lease Group","Australia","Real Estate Services","","","","","249","","Lend Lease Group","Private","","",""
"Barclays Bank PLC - Abu Dhabi","42385804","PO Box 1891","Abu Dhabi","971-02 4958555","http://www.barclays.ae","","","","","Barclays PLC","United Kingdom","Banking","","","","","1513","2007-12-31T05:00:00Z","Barclays Bank PLC","Private","","",""
"Germanischer Lloyd Se - Abu Dhabi","92460994","Po Box 36941","Abu Dhabi","24439870","http://www.gl-group.com","","","","","","","Management and Related Consulting Services","","","","","0","","","Private","","",""
"Dewan Architects and Engineers","111088031","Villa B21, Marina Village,","Abu Dhabi","971-2-6655599","http://www.dewan-architects.com","","","","1984","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"Emirate Safety Services LLC","111192642","Salem Almehairaby Building","Abu Dhabi","971-5-06340812","http://www.emisafe.ae","","","","","","","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","0","","","Private","","",""
"Matajer LLC","111088178","NA02, Al Nasr Street,","Abu Dhabi","971-2-4476678","http://www.matajer.ae/","","","","","","","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","0","","","Private","","",""
"Al Brooge Shares And Bonds Co WLL","111192890","Al Sayegh Tower","Abu Dhabi","971-2-6333116","http://www.brooge.com","","","","2005","","","Financial Asset Broking Services","","","","","0","","","Private","","",""
"Al Qudra Holding PJSC","98487042","Meena Towers","Abu Dhabi","971-2-6992222","http://www.alqudraholding.ae","","","","2005","","","Real Estate Services","","","","","0","","","Private","","",""
"Dussmann Gulf LLC","137782470","AL Najda St","Abu Dhabi","971-2-4433120","","","","","","Dussmann Stiftung & Co. KGaA","Germany","Management and Related Consulting Services","","","","","31","","Dussmann Stiftung & Co. KGaA","Private","","",""
"Enerflex MENA Ltd","138933939","Al Gaith Tower Airport Road 14 Floor","Abu Dhabi","971-2-443-0015","","","","","","Enerflex Ltd","Canada","Mining and Construction Machinery Manufacturing","","","","","34","","Enerflex Ltd","Private","","",""
"ADCB Finance (Cayman) Limited","121396501","Al Salam St","Abu Dhabi","971-26962222","","","","","","Abu Dhabi Investment Authority","United Arab Emirates","Management and Related Consulting Services","","","","","7","","Abu Dhabi Commercial Bank PJSC","Private","","",""
"CAPM Investment PJSC","111088001","P.O.Box 105447","Abu Dhabi","971-2-6194661","http://www.capminv.com","","","","2007","Finance House P.J.S.C.","United Arab Emirates","Financial Asset Broking Services","","","","","5","","Finance House P.J.S.C.","Private","","",""
"Abu Dhabi National Properties LLC","125643599","Muroor Road Street 4 Opposite Madinat Zayed Shopping Centre","Abu Dhabi","971-2-659-4888","http://www.nbad.com/investment/adnp/","","","","","Government Of Abu Dhabi","","Real Estate Services","","","","","29","","National Bank of Abu Dhabi","Private","","",""
"Al Fardan Exchange","48584054","PO Box 498, Liwa St.","Abu Dhabi","971-02 6223222","http://www.alfardanexchange.com","","","","","Al Fardan Group","","Other Depository Financial Intermediation","","","","","2","2007-12-31T05:00:00Z","Al Fardan Group","Private","","",""
"Hobas Gulf Pipe Factory L.L.C.","48584005","PO Box 46231","Abu Dhabi","971-02 5826288","http://www.hobas.com","","","","1957","","","Sheet Metal Product Manufacturing (except Metal Structural and Container Products)","","","","","0","2007-12-31T05:00:00Z","","Private","","",""
"Halliburton KBR","42385916","PO Box 57, 11th Fl. Lulu Centre","Abu Dhabi","971-02 6442212","http://www.halliburton.com","","","","","Halliburton Company","United States","Engineering Design and Engineering Consulting Services","","","","","284","2007-12-31T05:00:00Z","Halliburton Company","Private","","",""
"Standard Chartered Bank - Abu Dhabi","42386085","PO Box 240","Abu Dhabi","971-02 6777400","http://www.standardchartered.ae","","","","1961","Standard Chartered PLC","United Kingdom","Banking","","","","","206","2007-12-31T05:00:00Z","Standard Chartered Bank","Private","","",""
"Tüv Süd Middle East Llc","92461545","Po Box 45117","Abu Dhabi","26767600","http://www.tuvusudme.com","","","","","Tüv Süd E.V.","","Other Water Transport Support Services","","","","","80","","Tüv Süd E.V.","Private","","",""
"National Health Insurance Co","104248334","Airport Road,","Abu Dhabi","971-2-6149555","http://www.damanhealth.ae","","","","2005","","","Life Insurance","","","","","0","","","Private","","",""
"SEG Middle East LLC","111088263","P.O. Box 42278","Abu Dhabi","971-2-5549544","","","","","","","","Other Electrical Equipment Manufacturing","","","","","0","","","Private","","",""
"UAE Exchange Centre LLC","111192659","Al Sayegh Center","Abu Dhabi","971-2-6105555","http://www.uaeexchange.com/","","","","1980","","","Financial Asset Broking Services","","","","","3","","","Private","","",""
"National Central Air Condition Company - P S C - Abu Dhabi","123262655","Po Box 29478","Abu Dhabi","6455007","","1128738000","","","","","","Water Supply","","","","","0","2012-12-31T05:00:00Z","","Private","","307301060",""
"Mashreqbank P.S.C - Mashreq Al Islami Division","121405034","Ground Floor Blue Tower Khalifa Street","Abu Dhabi","971-4-424-4411","http://www.mashreqalislami.com","","","","","Mashreqbank psc","United Arab Emirates","Banking","","","","","9","","Mashreqbank psc","Private","","",""
"PAL Technology Services LLC","111088222","2nd Floor, Royal Group Building","Abu Dhabi","971-2-6428777","http://www.paltechnology.com/","","","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"Spectrum Light Block LLC","111088280","ICAD 1 Mussafah","Abu Dhabi","971-2-5500702","http://slb-uae.com/","","","","","","","Concrete Product Manufacturing","","","","","0","","","Private","","",""
"Al Tamouh Investments Company LLC","111192806","6th Floor, East Wing Tower,, P.O. Box 10","Abu Dhabi","971-2-6442218","","","","","","","","Financial Asset Investing","","","","","0","","","Private","","",""
"Arab German International Broker  Finance Brokers Llc","120012190","Po Box 4475","Abu Dhabi","6518888","http://www.agib.ae","","","","","Bin Aweida Group","","Financial Asset Broking Services","","","","","2","","Bin Aweida Group","Private","","",""
"The Housing Bank For Trade & Finance - (Representative Office) - Abu Dhabi","120010945","Shk.Khalifa Bin Zayed Street","Abu Dhabi","","http://www.hbtf.com","","","","","","","Banking","","","","","0","","","Private","","",""
"Campenon Bernard Sge - Abu Dhabi","92460877","Blue Tower Bldg","Abu Dhabi","26264370","http://www.vinci.net","","","","","","","Engineering Design and Engineering Consulting Services","","","","","0","","","Private","","",""
"MENACORP","100971477","PO Box 108377","Abu Dhabi","971-2 6271215","http://www.wafafs.com","","","","","","","Financial Asset Broking Services","","","","","0","2007-12-31T05:00:00Z","","Private","","",""
"Austin-Smith:Lord Abu Dhabi","125630991","Al Nasr Street Qasr Al Hosn Cultural Quarter","Abu Dhabi","971-2-631-7072","http://www.austinsmithlord.com","","","","","Austin-Smith:Lord LLP","United Kingdom","Architectural Services","","","","","6","","Austin-Smith:Lord LLP","Private","","",""
"Cemex Super Mix L L C","92461535","Pobox:72071Abudhabi","Abu Dhabi","25515501","http://www.cemex.com","","","","","","","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","0","","","Private","","",""
"Higher Corporation for Specialized Econ.","111088111","P.O.Box: 36000","Abu Dhabi","971-2-5500000","http://www.zonescorp.com","","","","2004","","","Real Estate Services","","","","","9","","","Private","","",""
"Al Marjan Geoservices LLC","111192772","Z14 P19 Abu Dhabi Municipality Building","Abu Dhabi","971-2-5553388","http://www.alfahim.com","","","","","","","Other Mining Support Services","","","","","0","","","Private","","",""
"Enviromena Power Systems LLC","111088062","SAF Block 5, Opp, Presidential Flight","Abu Dhabi","971-2-6353213","http://www.enviromena.com","","","","2007","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"Emirates Crown Lube Company Ltd","111192755","P.O.Box 9200","Abu Dhabi","971-2-5542444","http://www.emicrown.com/","","","","","","","Petroleum Refining and Petroleum Fuel Manufacturing","","","","","0","","","Private","","",""
"Danway Fusion Glass LLC","111192862","P.O. Box 105638","Abu Dhabi","971-2-5501665","http://www.danway.ae/","","","","","","","Glass and Glass Product Manufacturing","","","","","0","","","Private","","",""
"Patchi L.L.C.","126967640","PO Box 35497","Abu Dhabi","971-02 6666748","http://www.patchi.com","","","","","","","Confectionery Manufacturing","","","","","0","","","Private","","",""
"Bin Hamoodah Automotives L.L.C.","127979943","PO Box 203","Abu Dhabi","971-02 4448888","http://www.binhamoodahauto.com","","","","","Bin Hamoodah Company L.L.C.","United Arab Emirates","Motor Vehicle and Motor Vehicle Parts Wholesaling","","","","","9","","Bin Hamoodah Company L.L.C.","Private","","",""
"Emsons L L C","92461486","Po Box 321","Abu Dhabi","26731660","http://www.emsons.com","","","","","","","Department Stores","","","","","0","","","Private","","",""
"Emirates EMI","50835922","PO Box 42802","Abu Dhabi","971-02 6713500","http://www.alhamed.com","","","","1995","Al Hamed Enterprises","United Arab Emirates","Engineering Design and Engineering Consulting Services","","","","","15","2007-12-31T05:00:00Z","Al Hamed Enterprises","Private","","",""
"Abu Dhabi Finance PJSC","107377819","Abu Dhabi Finance Building","Abu Dhabi","971-2-4018555","http://www.adf.ae","","","","2008","The Offset Program Bureau","United Arab Emirates","Other Auxiliary Finance and Investment Services","","","","","21","","Mubadala Development Company PJSC","Private","","",""
"Al Rayan Investment PJSC","111192856","Crossing of Al Khaleej Al Arabi Road","Abu Dhabi","971-2-6666332","http://www.alrayan.ae","","","","","","","Land Development and Subdivision","","","","","0","","","Private","","",""
"Dragomar International AG","42385858","PO Box 27297","Abu Dhabi","971-02 6327600","","","","","","","","Other Heavy and Civil Engineering Construction","","","","","0","2007-12-31T05:00:00Z","","Private","","",""
"Target Engineering Construction Company L L C","120010749","Po Box 960","Abu Dhabi","26714700","http://www.target.ae","387000000","","","","","","Non-Residential Building Construction","","","","","0","2012-12-31T05:00:00Z","","Private","","387000000",""
"SHUAA Securities LLC","121406073","Corniche Road Abu Dhabi National Islamic Finance Building","Abu Dhabi","971-24090700","http://www.shuaasecurities.com","","","","","Shuaa Capital PSC","United Arab Emirates","Financial Asset Broking Services","","","","","6","","Shuaa Capital PSC","Private","","",""
"Menacorp Financial Services L.L.C.","126967659","PO Box 108377","Abu Dhabi","971-02 6271215","http://www.menacorpfinance.com","","","","","","","Financial Asset Broking Services","","","","","0","","","Private","","",""
"Future Pipe Industries Group Ltd.","127668768","","Abu Dhabi","971-2-627-0008","http://www.futurepipe.com","","","","","","","Other Fabricated Metal Product Manufacturing Not Elsewhere Classified","","","","","2","","","Private","","",""
"Abu Dhabi National Carpet Factory","98191431","PO Box 30085","Abu Dhabi","971-02 5515100","http://www.adnc.ae","","","","2001","Abu Dhabi National Indust Projects Co","United Arab Emirates","Textile Floor Covering Manufacturing","","","","","5","2007-12-31T05:00:00Z","Abu Dhabi National Indust Projects Co","Private","","",""
"Max Rock LLC","120029369","Ali & Sons Building,","Abu Dhabi","971-2-6713993","http://www.maxrock.ae","","","","2003","","","Gravel and Sand Quarrying","","","","","0","2007-12-31T05:00:00Z","","Private","","",""
"Detecon International Gmbh - Abu Dhabi","120011361","Tourist Club","Abu Dhabi","","http://www.detecon.com","","","","","Deutsche Telekom AG","Germany","Management and Related Consulting Services","","","","","5620","","Deutsche Telekom AG","Private","","",""
"Lufthansa German Airlines","92461166","Al Dhafra Street","Abu Dhabi","","http://www.uae.lufthansa.com","","","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Group 3 Engineers and Contractors","92500571","PO Box 4390","Abu Dhabi","971-2 6222760","http://www.adcecogroup.com","","","","1972","ADCECO Group","United Arab Emirates","Engineering Design and Engineering Consulting Services","","","","","10","2007-12-31T05:00:00Z","ADCECO Group","Private","","",""
"Zawaya Decor L.L.C.","92500585","PO Box 47780","Abu Dhabi","971-02 6270327","http://www.adcecogroup.com","","","","1990","ADCECO Group","United Arab Emirates","Other Professional, Scientific and Technical Services Not Elsewhere Classified","","","","","10","2007-12-31T05:00:00Z","ADCECO Group","Private","","",""
"Al Rumaithy General Trading Establishment","42751316","PO Box 4356","Abu Dhabi","971-02 6724472","http://www.alrumaithy.com","","","","1972","","","Other Transport Support Services Not Elsewhere Classified","","","","","0","2007-12-31T05:00:00Z","","Private","","",""
"Al Ramz Securities LLC","137784416","Sky Tower, 22nd Floor, Al Reem Street,","Abu Dhabi","971-2-6262626","http://en.alramz.ae","","","","1998","","","Financial Asset Broking Services","","","","","0","","","Public","","",""
"Central Bank Of The United Arab Emirates","98460543","Po Box 854","Abu Dhabi","26652220","http://www.centralbank.ae","4533000000","","","","","","Banking","","","","","0","2012-12-31T05:00:00Z","","Private","","1234117800",""
"Abu Dhabi Transmission & Despatch Company","92461558","","Abu Dhabi","971-2-4164000","http://www.transco.ae","","","","","Abu Dhabi Water & Electricity Authority","","Electricity Supply","","","","","44","","Abu Dhabi Water & Electricity Authority","Private","","",""
"Mitsubishi Heavy Industries Limited","92461190","Po Box 912","Abu Dhabi","26447373","http://www.mitsubishicorp.com","","","","","Mitsubishi Corp","Japan","Petroleum Product Wholesaling","","","","","370","","Mitsubishi Corp","Private","","",""
"National Bank of Ras Al Khaimah PSC - Abu Dhabi","138505729","PO Box 2289, Hamdan St.","Abu Dhabi","971-02 6448227","","","","","","","","Banking","","","","","0","","","Private","","",""
"Associated Construction & Trading Group","126201412","Po Box 526","Abu Dhabi","26678888","","","","","","","","Other Residential Building Construction","","","","","0","","","Private","","",""
"National Horticultural Co.","43523278","PO Box 43832, Mezzanine Fl., Falcon Tours Bldg., Khalidiya","Abu Dhabi","971-03 7347373","http://www.alhamed.com/NHC.htm","","","","1997","Al Hamed Enterprises","United Arab Emirates","Nursery and Floriculture Production","","","","","15","2007-12-31T05:00:00Z","Al Hamed Enterprises","Private","","",""
"United Eastern Group LLC","92461055","Liberty Tower, 4th Floor,","Abu Dhabi","971-2-6272737","http://www.ueg.ae","","","","1976","","","Other Goods and Equipment Rental and Hiring Not Elsewhere Classified","","","","","4","","","Private","","",""
"Paris-Sorbonne University Abu Dhabi","125228686","Paris-Sorbonne University Abu Dhabi","Abu Dhabi","971-2-6569555","http://www.sorbonne.ae","","","","2006","","","Higher Education","","","","","0","","","Private","","",""
"Al Mirfa Power Company","92461561","","Abu Dhabi","971-2-8952200","http://www.ampc.ae","","","","","Abu Dhabi Water & Electricity Authority","","Electricity Supply","","","","","44","","Abu Dhabi Water & Electricity Authority","Private","","",""
"Al Khazna Insurance Company - Al Mussafah Light Vehicle","123860285","","Abu Dhabi","971-25544561","","","","","","Al Khazna Insurance Company PSC","United Arab Emirates","Auxiliary Insurance Services","","","","","10","","Al Khazna Insurance Company PSC","Private","","",""
"AJECOBOND - Al Jaber Aluminium Composite LLC","123332898","","Abu Dhabi","971-2-5501777","","","","","","Al Jaber Group LLC","United Arab Emirates","Prefabricated Metal Building Manufacturing","","","","","34","","Al Jaber Group LLC","Private","","",""
"Ian Banham & Associates- Consulting Engineers","121405667","PO Box 2853","Abu Dhabi","971-24439961","http://www.ianbanham.com","","","","","National Central Cooling Co PSC","United Arab Emirates","Engineering Design and Engineering Consulting Services","","","","","4","","National Central Cooling Co PSC","Private","","",""
"Transport Telematic Systems LLC","137383486","Al Nasr Street","Abu Dhabi","971-2-633-2564","","","","","","Kapsch-Group Beteiligungs GmbH","Austria","Other Transport Support Services Not Elsewhere Classified","","","","","65","","Kapsch TrafficCom AG","Private","","",""
"Waagner-Biro Emirates Contracting L.L.C.","139494106","8th floor Office no 083 United Arab Bank Building Khalifa Street","Abu Dhabi","971-2-6260416","","","","","","Waagner-Biro AG","Austria","Other Heavy and Civil Engineering Construction","","","","","17","","Waagner-Biro Stahlbau AG","Private","","",""
"KazStroyService Middle East","138777838","302 Al Otaiba Building Airport Road","Abu Dhabi","971-2-622-75-66","","","","","","OGCC KazStroyService JSC","Kazakhstan","Other Heavy and Civil Engineering Construction","","","","","8","","OGCC KazStroyService JSC","Private","","",""
"Bin Hamoodah Properties L.L.C.","127979944","PO Box 203","Abu Dhabi","971-2 6176781","http://www.binhamoodahproperties.ae","","","","","","","Non-Residential Property Operators","","","","","0","","","Private","","",""
"Fugro Middle East B.V.","48609213","PO Box 4447","Abu Dhabi","971-02 5542891","http://www.fugrome.com","","","","","Fugro N.V","Netherlands","Surveying and Mapping Services","","","","","180","2007-12-31T05:00:00Z","Fugro Middle East B.V.","Private","","",""
"Contax Partners","92507438","P/1057, Muroor Street","Abu Dhabi","97126222966","http://www.contaxpartners.com","","","","","","","Other Machinery and Equipment Manufacturing Not Elsewhere Classified","","","","","0","","","Private","","",""
"Abu Dhabi National Hotels Company - Compass Middle East - L L C","92461403","Po Box 46806","Abu Dhabi","24447228","http://www.adnh.com","","","","","","","Cafes, Restaurants and Takeaway Food Services","","","","","0","","","Private","","",""
"International Capital Trading","113815100","Villas B9 - B13","Abu Dhabi","971-2-6525555","http://www.ict.ae/","","","","2004","","","Residential Property Operators","","","","","0","","","Private","","",""
"Idemitsu Kosan Company Limited","92461632","Khalaf Alotaiba Bldg","Abu Dhabi","26334740","http://www.idemitsu.co.jp","","","","","","","Other Non-Metallic Mineral Product Manufacturing","","","","","0","","","Private","","",""
"Anadrill International","92460700","P.O. Box 21","Abu Dhabi","25554824","http://www.slb.com","","","","","","","Nonclassifiable Establishments","","","","","0","","","Private","","",""
"Enviromena Power Systems","107923719","Masdar City SAF Block 5","Abu Dhabi","97126353213","http://www.enviromena.com","","","","","","","Electricity Supply","","","","","0","","","Private","","",""
"Abu Dhabi National Islamique Financ PJSC","111192885","Golden Beach Tower Building","Abu Dhabi","971-2-4104444","http://www.adnif.ae/","","","","2007","Government Of Abu Dhabi","","Non-Depository Financing","","","","","29","","National Bank of Abu Dhabi","Private","","",""
"Falcon Private Financial Advisory LLC.","139496992","Das Tower Suite 1802 Khalidiyah Corniche Road","Abu Dhabi","971-2-222-6655","","","","","","International Petroleum Investment Co","United Arab Emirates","Other Depository Financial Intermediation","","","","","192","","Falcon Private Bank Ltd.","Private","","",""
"Emirates Aluminium","111192661","Emirates Aluminium Complex","Abu Dhabi","971-2-5092222","http://www.emal.ae/","","","","2007","","","Aluminium Smelting","","","","","0","","","Private","","",""
"Al Khazna Insurance Company - Abu Dhabi Traffic","123784239","Najda Street","Abu Dhabi","971-24493497","http://www.alkhazna.com/medical/medauhph.htm","","","","","Al Khazna Insurance Company PSC","United Arab Emirates","Auxiliary Insurance Services","","","","","10","","Al Khazna Insurance Company PSC","Private","","",""
"Al Jaber Iron & Steel Foundry LLC","139493415","","Abu Dhabi","971-2-5541524","","","","","","Al Jaber Group LLC","United Arab Emirates","Iron and Steel Casting","","","","","34","","Al Jaber Group LLC","Private","","",""
"Mechanical & Civil Engineering Contractors Ltd","120011176","Po Box 2307","Abu Dhabi","26666462","http://www.macecontractors.com","","","","","","","Other Heavy and Civil Engineering Construction","","","","","0","","","Private","","",""
"International Bechtel Company Ltd.","42385935","PO Box 2661","Abu Dhabi","971-02 6998400","http://www.bechtel.com","","","","1898","","","Engineering Design and Engineering Consulting Services","","","","","0","2007-12-31T05:00:00Z","","Private","","",""
"AL AHLIA MONEY EXCHANGE BUREAU","111192896","Omeir Bin Yousuf Building","Abu Dhabi","971-2-6229666","http://www.ahaliaexchange.com","","","","1996","","","Financial Asset Broking Services","","","","","0","","","Private","","",""
"Tek Signals","48584163","PO Box 47520","Abu Dhabi","971-2 6272701","http://www.teksignals.com","","","","","","","Communication Equipment Manufacturing","","","","","0","2007-12-31T05:00:00Z","","Private","","",""
"Gulf Oil and Gas","48584164","PO Box 7539","Abu Dhabi","971-2 6393848","http://www.gogas-me.com","","","","1991","Gulf Data International Company L L C","","Other Heavy and Civil Engineering Construction","","","","","2","2007-12-31T05:00:00Z","Gulf Data International Company L L C","Private","","",""
"Abu Dhabi Gas Development Co. Ltd.","123114706","","Abu Dhabi","971-2-654-2222","http://www.alhosngas.com","","","","","Abu Dhabi National Oil Company","United Arab Emirates","Oil and Gas Extraction","","","","","25","","Abu Dhabi National Oil Company","Private","","",""
"Sheikh Khalifa Medical City","107923712","P.O. Box 51900","Abu Dhabi","9728190000","http://www.skmc.ae","","","","","Cleveland Clinic Foundation","United States","Human Pharmaceutical and Medicinal Product Manufacturing","","","","","2","","Cleveland Clinic Foundation","Private","","",""
"Capital Investment LLC","111088000","PO Box 35666","Abu Dhabi","971-2-6523999","http://www.capitalinvestment.ae/","","","","1999","Abu Dhabi Capital Group L L C","","Financial Asset Investing","","","","","3","","Abu Dhabi Capital Group L L C","Private","","",""
"Caracal International LLC","111088002","Tawazun Industrial Park Ajban","Abu Dhabi","971-2-4927111","","","","","","","","Other Fabricated Metal Product Manufacturing Not Elsewhere Classified","","","","","0","","","Private","","",""
"Mott MacDonald Limited - Abu Dhabi","42385996","Al Hashmi Twr., Airport Rd.","Abu Dhabi","971-02 4120200","http://www.mottmac.com","","","","1920","Mott Macdonald Group Ltd","United Kingdom","Engineering Design and Engineering Consulting Services","","","","","162","2007-12-31T05:00:00Z","Mott Macdonald Group Ltd","Private","","",""
"Mubadala Petroleum LLC","123227546","Sowwah Square Al Maryah Island Al Maqam Tower 27 28 & 29 Floor","Abu Dhabi","971-2-818-6000","http://www.mubadalapetroleum.com","","","","","The Offset Program Bureau","United Arab Emirates","Other Mining Support Services","","","","","21","","Mubadala Development Company PJSC","Private","","",""
"Danzas Abu Dhabi LLC","125631266","Mezzanine Fl Mafco Bldg Muroor E Rd","Abu Dhabi","971-2-4452788","","","","","","Deutsche Post AG","Germany","Other Transport Support Services Not Elsewhere Classified","","","","","1051","","Deutsche Post AG","Private","","",""
"Mubadala Infrastructure Partners Ltd","120029354","ADNIC Building","Abu Dhabi","971-2-4174200","http://www.mip.ae","","","","2008","","","Other Auxiliary Finance and Investment Services","","","","","0","","","Private","","",""
"Al Qudra Real Estate LLC","111192633","P.O.Box 48111","Abu Dhabi","971-2-6992222","http://www.alqudrare.ae/","","","","2006","Showq Al Khaleej Perfumes","","Real Estate Services","","","","","2","","Showq Al Khaleej Perfumes","Private","","",""
"Abu Dhabi Sewerage Services Co - PJSC","111192692","Sky tower,  108801 Reem Island","Abu Dhabi","971-2-6962694","http://www.adssc.ae","","","","","Abu Dhabi Water & Electricity Authority","","Sewerage and Drainage Services","","","","","44","","Abu Dhabi Water & Electricity Authority","Private","","",""
"Ajmal Khan Mohammad Music Centre L L C","126201410","Po Box 8227","Abu Dhabi","4444333","","986299.99","","","","","","Other Goods Wholesaling Not Elsewhere Classified","","","","","2","2002-12-31T05:00:00Z","","Private","","986299.99",""
"Al Ahli Bank of Kuwait KSC - Abu Dhabi","123762052","PO Box 7941","Abu Dhabi","971-02 4015111","http://abk.eahli.com/abk","","","","","","","Banking","","","","","0","","","Private","","",""
"Gulf International Bank BSC","42385909","PO Box 27051, Arab Monetary Fund Bldg., Corniche Rd.","Abu Dhabi","971-02 6214747","http://www.gib.com","","","","","Gulf International Bank B.S.C.","Bahrain","Banking","","","17302400000","","10","2007-12-31T05:00:00Z","Gulf International Bank B.S.C.","Private","","",""
"Al Farida Investments","111192839","P.O. Box 11","Abu Dhabi","971-2-6675599","http://www.alfaridainvst.com","","","","1990","","","Financial Asset Broking Services","","","","","0","","","Private","","",""
"Al Wathba Marionnet L L C","111192838","41522","Abu Dhabi","971-2-6661522","http://www.awm-datepalm.com/","","","","1998","","","Scientific Research Services","","","","","0","","","Private","","",""
"Al Tamimi & Partners Advocacy & Legal","111192670","Murabah Al Sw Bldg Al Sila Twr Lvl 26","Abu Dhabi","971-2-8130444","http://www.tamimi.com/","","","","","","","Legal Services","","","","","0","","","Private","","",""
"Prestige Jet","111088237","NA02, NA02,","Abu Dhabi","","http://www.prestige-jet.com/","","","","2007","","","Other Goods and Equipment Rental and Hiring Not Elsewhere Classified","","","","","0","","","Private","","",""
"Stream FZC","111088285","RAK Free Zone Promotion Centre 1 st Fl","Abu Dhabi","971-2-6994725","http://www.stream-systems.net/","","","","","","","Road Freight Transport","","","","","0","","","Private","","",""
"International Golden Group PJSC","123278912","Bani Yas Tower Corniche Road","Abu Dhabi","971-2-626-6661","http://www.iggroup.ae","","","","","","","Financial Asset Investing","","","","","2","","","Private","","",""
"Nippon Oil-Dhabi","92461211","","Abu Dhabi","971-2314991","http://www.eneos.co.jp","","","","","JX Holdings, Inc.","Japan","Petroleum Refining and Petroleum Fuel Manufacturing","","","","","156","","JX Nippon Oil & Energy Corporation","Private","","",""
"Spaceage General Cont. Co. W.L.L","107923709","P.O.Box No 43693","Abu Dhabi","97125500150","http://www.spaceage-electrical.com","","","","","Spaceage Electrical Contracting Est","","Mining and Construction Machinery Manufacturing","","","","","2","","Spaceage Electrical Contracting Est","Private","","",""
"Toxido Pest Control LLC","139494069","Mussafah Industrial Area","Abu Dhabi","971-2-5828454","","","","","","Al Jaber Group LLC","United Arab Emirates","Building Pest Control Services","","","","","34","","Al Jaber Group LLC","Private","","",""
"VARANGIS TURNKEY INTERIOR PROJECTS L.L.C","139493507","Level 4 The Union National Bank Building Corniche Road West","Abu Dhabi","971-2-6281600","","","","","","Varangis Avepe S.A.","Greece","Furniture and Floor Covering Wholesaling","","","","","3","","Varangis Avepe S.A.","Private","","",""
"Gulf Automation Services and Oilfield Supplies Co.","51575147","PO Box 6203","Abu Dhabi","971-2 6276600","http://www.gasos.com","","","","1972","Bin Hamoodah Company L.L.C.","United Arab Emirates","Other Specialised Industrial Machinery and Equipment Wholesaling","","","","","9","2007-12-31T05:00:00Z","Bin Hamoodah Trading and General Services","Private","","",""
